head_type,tail_type,relation,index
None,None,None,0
人物,地点,祖籍,1,
人物,人物,父亲,2,
企业,地点,总部地点,3,
人物,地点,出生地,4,
生物,目,目,5,
行政区,Number,面积,6,
机构,Text,简称,7,
影视作品,Date,上映时间,8,
人物,人物,妻子,9,
歌曲,音乐专辑,所属专辑,10,
企业,Number,注册资本,11,
国家,城市,首都,12,
影视作品,人物,导演,13,
历史人物,Text,字,14,
人物,Number,身高,15,
影视作品,企业,出品公司,16,
学科专业,Number,修业年限,17,
人物,Date,出生日期,18,
影视作品,人物,制片人,19,
人物,人物,母亲,20,
影视作品,人物,编剧,21,
人物,国家,国籍,22,
地点,Number,海拔,23,
网络小说,网站,连载网站,24,
人物,人物,丈夫,25,
历史人物,Text,朝代,26,
人物,Text,民族,27,
历史人物,Text,号,28,
书籍,出版社,出版社,29,
电视综艺,人物,主持人,30,
学科专业,Text,专业代码,31,
歌曲,人物,歌手,32,
歌曲,人物,作词,33,
网络小说,人物,主角,34,
企业,人物,董事长,35,
机构,Date,成立日期,36,
人物,学校,毕业院校,37,
机构,Number,占地面积,38,
国家,语言,官方语言,39,
行政区,Text,邮政编码,40,
行政区,Number,人口数量,41,
景点,城市,所在城市,42,
图书作品,人物,作者,43,
企业,Date,成立日期,44,
歌曲,人物,作曲,45,
行政区,气候,气候,46,
电视综艺,人物,嘉宾,47,
影视作品,人物,主演,48,
影视作品,作品,改编自,49,
企业,人物,创始人,50,
